Review,Clean_Review,Topic
"This is a great course, I work in the capital markets and doing the course I could learn a lot of theories and new concepts that sometimes it is difficult to learn only doing daily tasks, really enjoined the course and the time spent on it was really an investment.",great course work capital market course could learn lot theory new concept sometimes difficult learn daily task really enjoined course time spent really investment,0
Had a great learning experience ! Topics were explained in simple language and with clarity for the sake of beginners. Found the course well-organised and productive. Thanks Coursera !,great learning experience topic explained simple language clarity sake beginner found course wellorganised productive thanks coursera,4
"Really well-structured and with neat features, allowing for a good learning experience. There is also plenty of help if you ever get stuck.",really wellstructured neat feature allowing good learning experience also plenty help ever get stuck,0
"I would recommend this course, very pleasantly presented by Dr. G. Everly, to professionals of different background. It is important to raise awareness of compassionate social support for people in need, which this course certainly does. RAPID model is proved to be efficient and easy to implement. I personally value the Self-care section, as I often find myself overwhelmed with other people's negative experiences and I tend to over empathize with them. Another useful tip, especially for therapists and/or psychologists as myself, is not to diagnose or provide therapeutic intervention. It is good to keep that in mind during PFA, because it can do more damage than good. Regarding Self-care section, it would have been useful to get more information about available resources for the helpers (e.g. supervision, on the spot intervention, support groups etc).",would recommend course pleasantly presented dr g everly professional different background important raise awareness compassionate social support people need course certainly rapid model proved efficient easy implement personally value selfcare section often find overwhelmed people negative experience tend empathize another useful tip especially therapist andor psychologist diagnose provide therapeutic intervention good keep mind pfa damage good regarding selfcare section would useful get information available resource helper eg supervision spot intervention support group etc,0
It's a very simplified form of presentation into the basic of python which has provided me with a outline of python. Being new to this programming language i was hesitation to do an online course which i have never experienced in my until today. This online course was very helpful to me in understanding the basics and also boost spirit in learning courses online.,simplified form presentation basic python provided outline python new programming language hesitation online course never experienced today online course helpful understanding basic also boost spirit learning course online,4
"I totally love this course. Foremost reason is professor chunk, his teaching methodology is out of box and productive. Additionally, the coursera platform is amazing.",totally love course foremost reason professor chunk teaching methodology box productive additionally coursera platform amazing,0
"Could have more problem sets to test ourselves, even if optional.",could problem set test even optional,1
"Deeply sighed by Andrew Ng, learning this course is a great way to enjoy the process. Among them, the check-in benefits of programming settings can consolidate and enhance understanding of what you have learned. The program in week4, when I was not learning, I wanted to write a neural network that could configure the number of layers arbitrarily. Under the leadership of Ng God, the work is very comfortable. This program can also be ported in other projects in the future. outstanding. I really like the series. thank.",deeply sighed andrew ng learning course great way enjoy process among checkin benefit programming setting consolidate enhance understanding learned program week learning wanted write neural network could configure number layer arbitrarily leadership ng god work comfortable program also ported project future outstanding really like series thank,2
"Being a beginner with absolutely NO idea of programming, this program has helped me a lot in learning the basics about python. Charles is very good in the work he does; you can easily understand his teachings. I'm so excited to continue the rest of the coursework ! ",beginner absolutely idea programming program helped lot learning basic python charles good work easily understand teaching im excited continue rest coursework,0
I learned SO much in this course!  I took thorough notes so that I can refer back to them often because there was just so much information.  Thank you!,learned much course took thorough note refer back often much information thank,1
Good and easily understandable course,good easily understandable course,4
"Excellent course. The presenter really knows his stuff and presents it with an easy tone and voice. A course like this could be a lot of fluff, but this one has detailed steps and video examples and what to do and what not to do. I plan to use what I learned in the course in different ways than just disaster relief, but everything I learned was very useful.",excellent course presenter really know stuff present easy tone voice course like could lot fluff one detailed step video example plan use learned course different way disaster relief everything learned useful,0
Loved this course.,loved course,0
Very Good course for the beginners and help the new students to make carrier in this field,good course beginner help new student make carrier field,0
"before this class i knew nearly nothing about python and programming. after taking the course i have learned a lot - of course the very basics. the teaching method was great and fun and loved Dr. Severance's teaching method. Dr. Severance, thank you very much for the amazing course ",class knew nearly nothing python programming taking course learned lot course basic teaching method great fun loved dr severance teaching method dr severance thank much amazing course,0
Great course!!! Thank you.,great course thank,0
Very good stimulating course for very novice beginners that gets them not only excited about Python but about computers and technology and a lot more.,good stimulating course novice beginner get excited python computer technology lot,4
The course content was delivered excellently which made Python programming interesting to me. Thanks a lot coursera.,course content delivered excellently made python programming interesting thanks lot coursera,4
"Great course! Although it sometimes seemed that the same material could be passed in more intensive manner. However, I have actually enjoyed the detailed descriptions and the exercises. Overall, I am very satisfied with the theoretical material, with exercises and with teacher who is very inspiring. I think it might be great if in the end of each week you would provide a summing up doc of this particular week. This may help a lot when you split studies: it can help refresh the memories of what you have learned the other day, and also help towards the quiz and the exercise. Additional thanks for the exercises, with all the descriptions, schemes and test cases! I've taken few programming courses earlier, and they are not even close to the studying platform you provide. Thanks a lot.",great course although sometimes seemed material could passed intensive manner however actually enjoyed detailed description exercise overall satisfied theoretical material exercise teacher inspiring think might great end week would provide summing doc particular week may help lot split study help refresh memory learned day also help towards quiz exercise additional thanks exercise description scheme test case ive taken programming course earlier even close studying platform provide thanks lot,1
"Great content, Thanks ",great content thanks,4
this is a great course for knowing about the new electricity of the world,great course knowing new electricity world,2
It is very useful for people whose python is very first coding language,useful people whose python first coding language,4
"VIDEO STUDY MATERIAL IS BEST WITH GOOD EXAMPLE , BUT AUTO GRADER IS NOT SO WELL WORKING.",video study material best good example auto grader well working,1
"Great course, but a lot of material!!",great course lot material,4
"Very good general overview of financial markets with the view of how it can foster prosperity for human society.  In particular, it expanded very much my understanding of risk management. Prof Schiller is an enthusiast of the subject and has lots of precious information and good stories to share. I fully recommend. ",good general overview financial market view foster prosperity human society particular expanded much understanding risk management prof schiller enthusiast subject lot precious information good story share fully recommend,2
I always recommend this course for those who want to get into AI/ML field ,always recommend course want get aiml field,2
Christine is an excellent instructor.Enjoyed learning with her.,christine excellent instructorenjoyed learning,4
very good course for beginners!! ,good course beginner,4
"

Some concepts are difficult to put into practice in reality, but it is remarkable that they do their best to make people understand. THANK YOU!  ",concept difficult put practice reality remarkable best make people understand thank,0
"This introduction Pytho is really interesting!!! Prof. Charles Severance is so nice and his lecture is easy to understand!!! Thank you, Prof. Charles Severanc. Thank you, Coursera!!! Love Coursera!!! ",introduction pytho really interesting prof charles severance nice lecture easy understand thank prof charles severanc thank coursera love coursera,0
"Solid at providing an elementary understanding of neural networks and deep learning. I appreciated the inclusion of interviews with industry leaders and notable researchers. However, the course does move very slowly, and the videos get repetitive. In addition, much of the programming projects are simply copy-paste and don't leave much to the student in terms of synthesis of course concepts.",solid providing elementary understanding neural network deep learning appreciated inclusion interview industry leader notable researcher however course move slowly video get repetitive addition much programming project simply copypaste dont leave much student term synthesis course concept,2
This is the really good class for someone who dont have any knowledge in programming. Thanks Coursera,really good class someone dont knowledge programming thanks coursera,0
Thanks for the very well made course. The interactive part is very useful to get hand-on exercise to understand the content.,thanks well made course interactive part useful get handon exercise understand content,4
"Un curso corto, pero con mucho contenido pertinente. Me ayudó bastante a comprender muchas cosas que no tenía muy claro. Recomendaré muchísimo este curso. ",un curso corto pero con mucho contenido pertinente ayud bastante comprender muchas cosas que tena muy claro recomendar muchsimo este curso,3
Great course. Parts move a little slowly. That can be mitigated by fast forwarding through parts of the videos.,great course part move little slowly mitigated fast forwarding part video,1
"I think it would have been good for the level of the course if some more emphasis had been placed on mathematics behind the nets. Apart from that, I really liked the practical exercises.",think would good level course emphasis placed mathematics behind net apart really liked practical exercise,1
this course is amazing and really get you to love programming and prove to you that everyone can learn programming thanks to the professor hard word,course amazing really get love programming prove everyone learn programming thanks professor hard word,0
"I have been out of school of any sort for over 30 years and had concerns about my ability to keep up. I picked a class where I had an interest in the subject matter and dived in. The class was absolutely fantastic! Interesting, informative, comprehensive. I had some initial reservations about the animation (as opposed to just seeing the prof in a classroom setting) but I think it added tremendously. Kept the seminars entertaining and the pace steady. Highly recommend this class. If I have any complaint it’s that the certificate could be more attractive since it’s going on my pegboard! ",school sort year concern ability keep picked class interest subject matter dived class absolutely fantastic interesting informative comprehensive initial reservation animation opposed seeing prof classroom setting think added tremendously kept seminar entertaining pace steady highly recommend class complaint certificate could attractive since going pegboard,0
It's Really Exciting Course & Maybe exhausting for your mind but it gives you wide range of information about networking  ,really exciting course maybe exhausting mind give wide range information networking,0
Prof is amazing at explaining concepts in a way that are easy to understand. I've learned a lot and will continue to learn even more ,prof amazing explaining concept way easy understand ive learned lot continue learn even,0
"It was a very informative and enjoyable course but I found the software that was used was a bit buggy. For example, if I submitted a quiz, the correct and incorrect answers would be displayed. If I re-attempt the quiz (and I now no the answers) and submit it again, different correct and incorrect answers would be displayed.",informative enjoyable course found software used bit buggy example submitted quiz correct incorrect answer would displayed reattempt quiz answer submit different correct incorrect answer would displayed,1
It is the best course for those who have no background in any programming language. In this course they started from the ground level and it's really easy to understand the python. And Dr.Chuck is best Teacher for Python. It's like Master to me.,best course background programming language course started ground level really easy understand python drchuck best teacher python like master,4
Great....!!!!,great,4
indepth,indepth,4
This was a very nice course. I came to know about so much things in Psychology. Previously I don't have knowledge about psychology but completing this course makes me interested for further studying Psychology. ,nice course came know much thing psychology previously dont knowledge psychology completing course make interested studying psychology,0
You will learn the littles about finance,learn little finance,1
This is a great course as an introduction to understanding AI,great course introduction understanding ai,2
easy to follow and really helpful!,easy follow really helpful,4
"This course is a perfect introduction to Psychological First Aid. The overview of PFA is succinct and easy to follow. You will learn some basic skills for building rapport, assessment, prioritizing individuals, intervention, and disposition (including following-up). I would recommend this course for anyone who may be exposed to trauma in their lives (which is to say, anyone and everyone!). ",course perfect introduction psychological first aid overview pfa succinct easy follow learn basic skill building rapport assessment prioritizing individual intervention disposition including followingup would recommend course anyone may exposed trauma life say anyone everyone,0
"The course is good, I like it. But, the final task is designed badly. How should I know that I should put a dictionary to an unknown function?",course good like final task designed badly know put dictionary unknown function,1
"This course is interesting,enthusiastic,knowledgeable. Instructor is good and teach in easy way",course interestingenthusiasticknowledgeable instructor good teach easy way,4
"Really great course (very dense for such a short amount of time!) Andrew's explanations and examples are clear, concise and packed with information. Had to go over some of the videos a few times, because of the detail. Really great course!",really great course dense short amount time andrew explanation example clear concise packed information go video time detail really great course,1
course was very good ,course good,4
A person who does not know a single word of coding can learn very easily from this about python,person know single word coding learn easily python,0
"This course sets you on the right path to learn more. I think this is the course one should take, if one is planning to lead AI based activity or want to go technical in AI. This is the right stepping stone course. Great examples and very simple to comprehend.",course set right path learn think course one take one planning lead ai based activity want go technical ai right stepping stone course great example simple comprehend,2
"It was a super technical course and well-presented. Having these skills will be really beneficial to you as an IT support specialist. A few things weren't that clear but hey you can google anything that you didn't understand well. I had to find some other resources in terms of understanding ""subnetting"".",super technical course wellpresented skill really beneficial support specialist thing werent clear hey google anything didnt understand well find resource term understanding subnetting,1
Great course. Thanks.,great course thanks,4
"This is exactly how you want to begin to get your feet wet.  Or, if you're like me and haven't touched a programming language in more than 20 years, it is a great chance to begin to explore the advances in the field.",exactly want begin get foot wet youre like havent touched programming language year great chance begin explore advance field,2
"I'm very happy because of the way the whole session has made progress. It is easy to understand because of the way things were explained. You are an awesome teacher!!!Just one little/tiny concern i.e. before explaining what is list, I saw the course started using list. If a little insight of list would have been provided in the course, it could have been a 100% complete course.But anyways, without that it's 99.99% satisfactory though. :)Again, thanks for having this very helpful course to build Python base of the learners strong. ",im happy way whole session made progress easy understand way thing explained awesome teacherjust one littletiny concern ie explaining list saw course started using list little insight list would provided course could complete coursebut anyways without satisfactory though thanks helpful course build python base learner strong,1
"Its a really good course. I understood the basics of finance and the working of financial markets. The terminologies used are pretty simple, only some are complex. I learnt a lot of new concepts and a different view towards finance. Really good course. Recommended for beginners who have a bit of knowledge of finance. Its worth it.",really good course understood basic finance working financial market terminology used pretty simple complex learnt lot new concept different view towards finance really good course recommended beginner bit knowledge finance worth,2
The course is very useful and I have gained deep knowledge about AI. Thank you so much.,course useful gained deep knowledge ai thank much,2
"Expertly taught and these skills extend far beyond just Psychological First Aid, you can also implement this knowledge into every day life. Well worth the time learning the material.",expertly taught skill extend far beyond psychological first aid also implement knowledge every day life well worth time learning material,0
Very good introduction course to psychology. Covered the basic topics and inspired me for further studies. ,good introduction course psychology covered basic topic inspired study,4
It is really a good experience for me to have completed this course. Prof. Robert shiller is a very enthusiastic and engaging teacher of course. ,really good experience completed course prof robert shiller enthusiastic engaging teacher course,4
"Great course a few problems, actually had problems with all video review during tests not playing and only having a blank screen so I wasn't able to review specefic videos through the tests. Loved the senarios though.",great course problem actually problem video review test playing blank screen wasnt able review specefic video test loved senarios though,1
Very interesting and useful course.,interesting useful course,4
Nice teaching... Great way to brush up basics,nice teaching great way brush basic,4
A brilliant course and introduction to Finance. You can tell a lot of care has gone into making this course and to improve financial education at an affordable price. It has really made me think a lot more about the financial tools available and how they can be used to solve problems in everyday life. Could not recommend this enough and everyone should read into this course to understand the basics of how the world works.Huge thanks to Professor Shiller for taking the time to do this course and the bonus interviews at the end (also worth a watch). I'll definitely be taking what I learned from this course and applying it to ideas and engineering.,brilliant course introduction finance tell lot care gone making course improve financial education affordable price really made think lot financial tool available used solve problem everyday life could recommend enough everyone read course understand basic world workshuge thanks professor shiller taking time course bonus interview end also worth watch ill definitely taking learned course applying idea engineering,0
"I loved the class. After many trials, this is the class that gave me confidence with Python. And the tutor was amazing. ",loved class many trial class gave confidence python tutor amazing,4
"Good course for understanding basics, but little heavy of programming side for non-programmers like me. The host is good, the content, explanation is great. ",good course understanding basic little heavy programming side nonprogrammers like host good content explanation great,1
"Excellent introductory course to Deep Learning, doesn't involve advanced knoledge of python or calculus.",excellent introductory course deep learning doesnt involve advanced knoledge python calculus,2
"It is magnificently explained. In this course, complex theory as the backpropagation algorithm is explained in a way that it is not difficult to fully understand what's behind it.Also, tests and exercises are good to learn tips and advices for the time i'll be needing to implement my own neural network.",magnificently explained course complex theory backpropagation algorithm explained way difficult fully understand whats behind italso test exercise good learn tip advice time ill needing implement neural network,1
Great high level course for business stakeholders or technical minds jumping into AI.  Really appreciated the following:-balanced assessment of AI's current capability -the vision required to build a team and yet it's ok to start small-ethics and using AI for the good of humanity to solve real world problems vs just profits,great high level course business stakeholder technical mind jumping ai really appreciated followingbalanced assessment ai current capability vision required build team yet ok start smallethics using ai good humanity solve real world problem v profit,2
GOOD. Thank you!!,good thank,4
Awesome class for the people who has no experience in any programming.The class is easy and clear. It will help you step by step. Definitely recommend to everyone!     ,awesome class people experience programmingthe class easy clear help step step definitely recommend everyone,4
Kk,kk,0
This course is very good and I have the pleasure of participating.,course good pleasure participating,4
"I started learning with a book written by the same instructor, it's very helpful.In lectures on Coursera, the instructor made a vivid description of what python really do and how to make logical statements using python. I read the book as a supplementary of learning, which confirms me of what I learned from videos.",started learning book written instructor helpfulin lecture coursera instructor made vivid description python really make logical statement using python read book supplementary learning confirms learned video,1
Un muy buen curso para entender la idea básica de lo que es la IA y Machine Learning  ,un muy buen curso para entender la idea bsica de lo que e la ia machine learning,3
the programming assignments were a bit too easy for my taste as most of the time the solution was already (almost) written in the instruction text.,programming assignment bit easy taste time solution already almost written instruction text,1
Good one (y) ,good one,4
very tough to understand in final project,tough understand final project,1
"Excelente curso para empaparse de las bases de los distintos campos de la psicología, es una manera excepcional de empezar el estudio de lo psicológico. ",excelente curso para empaparse de la base de los distintos campos de la psicologa e una manera excepcional de empezar el estudio de lo psicolgico,3
"Having a decent background in programming, I could clearly understand Dr Chuck's explanations.But, for the laymen amongst us, the explanations can be a tad better.Also, the PY4E tool wasn't too helpful when faced with an error.And I also feel that the difficulty of the questions provided in the quizzes should be increased slightly.",decent background programming could clearly understand dr chuck explanationsbut layman amongst u explanation tad betteralso pye tool wasnt helpful faced errorand also feel difficulty question provided quiz increased slightly,1
I really appreciated this introduction to Python. The instructor is super clear and uses really simple language that anyone can understand and relate to. Recommend!,really appreciated introduction python instructor super clear us really simple language anyone understand relate recommend,4
Thank you Professor Shiller for such an inspiring course ,thank professor shiller inspiring course,0
"good for novice programmer,an experienced programmer may leave it ",good novice programmeran experienced programmer may leave,4
It has been a great experience learning with coursera. This was the first course that I opted in coursera. Looking forward to get more opportunities. ,great experience learning coursera first course opted coursera looking forward get opportunity,0
"Great, Thank you",great thank,0
Exceptional course! I loved every single second of it!,exceptional course loved every single second,0
It was an interesting journey which helped me in gaining some insight into the world of python ,interesting journey helped gaining insight world python,2
"Challenging but really great course! The instructor did some research in order to provide us with the best jokes out there, even though the topic could have made for a boring course. Instead, the instructor's approach made for an awesome overall experience and I managed to complete the course way faster! Thanks!",challenging really great course instructor research order provide u best joke even though topic could made boring course instead instructor approach made awesome overall experience managed complete course way faster thanks,4
Very straightforward and easy to follow with informative examples that apply what you've learned.,straightforward easy follow informative example apply youve learned,1
I enjoyed learning very much because excellent explanation is given by Dr. Charles Russell  Severance sir in each video in accordance with book. Thank You sir and coursera team for providing this course.,enjoyed learning much excellent explanation given dr charles russell severance sir video accordance book thank sir coursera team providing course,0
"As a clinical psychology student, I am aware that reflective listening and empathetic language work like magic. The use of these two techniques can stabilize things and prevent them from getting worse. I am glad to be able to provide instant help without the need of digging deeper into the person's history, as well as being qualified to provide a long term assessment when needed.  Thank you Coursera and doctor, George Everly.",clinical psychology student aware reflective listening empathetic language work like magic use two technique stabilize thing prevent getting worse glad able provide instant help without need digging deeper person history well qualified provide long term assessment needed thank coursera doctor george everly,0
"Muy bueno el curso bien explicado gracias por compartir tus conocimientos, felicitaciones Charles Severance.",muy bueno el curso bien explicado gracias por compartir tus conocimientos felicitaciones charles severance,3
Too basic for experienced programmers but excellent in contents and presentation. Professor Severance demonstrated to be a top skilled one.,basic experienced programmer excellent content presentation professor severance demonstrated top skilled one,4
Very informative and engaging. Many thanks for the team that made this course!,informative engaging many thanks team made course,0
Incredibly in depth. I can't wait to keep learning. Thank you!,incredibly depth cant wait keep learning thank,2
Very well done. Very pleased with the content and presentation.,well done pleased content presentation,4
This Course will give all you need to start your career in Networking field,course give need start career networking field,0
Excellent course. Very interesting and useful.,excellent course interesting useful,4
Title if this course is so apt. AI for Everyone. I strongly recommend this course not only to people who are interested in upskilling but also for those who want to get a basic understanding of AI.,title course apt ai everyone strongly recommend course people interested upskilling also want get basic understanding ai,2
A fairly well designed and engaging course for non practitioners of AI like me. Does give you sense of direction. Would have loved if there was what next suggestion to learn. ,fairly well designed engaging course non practitioner ai like give sense direction would loved next suggestion learn,0
"I have changed my opinion about psychology, especially about the content of psychology with this course. It's so useful, informative and fun in the mean time. Perfect trail courses if one is considering to take long-time courses.",changed opinion psychology especially content psychology course useful informative fun mean time perfect trail course one considering take longtime course,0
The course builds confidence to learners by giving access to more hands-on examples. The graded assignments at the end of each topic boots the morale. You can learn at your own pace and re-visit the training videos if we have any doubts.,course build confidence learner giving access handson example graded assignment end topic boot morale learn pace revisit training video doubt,1
This week I have written a words in a creative manner that describes me .,week written word creative manner describes,1
Learn a lot from Prof. Charles!!!,learn lot prof charles,0
Wonderful learning experience,wonderful learning experience,4
Very good teacher! Funny and very good at explaining. ,good teacher funny good explaining,4
"My high expectations were met, thank you to all the persons that made this course possible. ",high expectation met thank person made course possible,0
Good Learning,good learning,2
"Me encantó el formato, mucha información buena y excelente profesor.",encant el formato mucha informacin buena excelente profesor,3
Despues de realizar el curso de machine learning me ha venido bien empezar este de deep learning. El cambio de nomenclatura y pasar de octave a python me ha servido para asimilar mejor los conocimientos.,despues de realizar el curso de machine learning ha venido bien empezar este de deep learning el cambio de nomenclatura pasar de octave python ha servido para asimilar mejor los conocimientos,3
"I have been trying to upskill for sometime now.  Charles is such an awesome instructor, he made learning Python( still in early stages though, but it got me engaged)  like a cake walk. I loved the way he explained things. Looking forward to go deeper and learn Python to gain expertise. ",trying upskill sometime charles awesome instructor made learning python still early stage though got engaged like cake walk loved way explained thing looking forward go deeper learn python gain expertise,0
"This was by far the best Python course I have taken for absolute beginners. A lot of other courses begin with the basics but suddenly jump to more complex concepts after a week or two, but this course progresses beautifully for an absolute novice and is truly 'Programming for Everybody: Getting started with Python'",far best python course taken absolute beginner lot course begin basic suddenly jump complex concept week two course progress beautifully absolute novice truly programming everybody getting started python,4
It was complicated and I am exhausted. Now I can understand why there are many people behind a network company.,complicated exhausted understand many people behind network company,2
The programming exercises involved a little too much hand-holding.,programming exercise involved little much handholding,1
"I have taken a couple of Neural Network classes at university level for my master's. I did learn a lot but this course on Deep Learning introduced me to concepts I had never had the chance to encounter in those classes. I enjoyed taking this class as well working on the assignments. The assignments are excellent even if most of the coding has been done for you. It is up to the student to understand the underlying code and to pick up Python if she/he has not encountered Python before. In this course, it is important to understand the core concepts before progressing to more complex concepts. I found myself frequently getting lost and having to revert to earlier topics to understand later topics.It was a pleasant experience working with Jupyter notebooks, something I did not have the familiarity with.Kudos to Andrew and team for making this course an enjoyable and rewarding learning experience.",taken couple neural network class university level master learn lot course deep learning introduced concept never chance encounter class enjoyed taking class well working assignment assignment excellent even coding done student understand underlying code pick python shehe encountered python course important understand core concept progressing complex concept found frequently getting lost revert earlier topic understand later topicsit pleasant experience working jupyter notebook something familiarity withkudos andrew team making course enjoyable rewarding learning experience,1
"Awesome foundation of financial market skills, essential knowledge.",awesome foundation financial market skill essential knowledge,2
